Ticker,Current_Price,Gain_Loss,Today_Date,Today_Gain,Date_In,Price_In,Days_Held,Status,Date_Out,Price_Out
SNOW,153.57,🟢 ▲ 7.03%,2026-04-22,🟢 ▲ 1.44%,2026-04-20,143.48,2.0,Active,,
ZS,139.95,🟢 ▲ 4.53%,2026-04-22,🟢 ▲ 2.15%,2026-04-20,133.89,2.0,Active,,
CRM,189.54,🟢 ▲ 3.86%,2026-04-22,🟢 ▲ 0.71%,2026-04-20,182.5,2.0,Active,,
ZM,91.93,🟢 ▲ 3.20%,2026-04-22,🔴 ▼ 0.48%,2026-04-20,89.08,2.0,Active,,
ANET,172.96,🟢 ▲ 1.74%,2026-04-22,🔴 ▼ 0.83%,2026-04-21,170.0,1.0,Active,,
RDDT,160.73,🔴 ▼ 0.88%,2026-04-22,🔴 ▼ 0.40%,2026-04-20,162.15,2.0,Active,,
PYPL,51.1,🟢 ▲ 0.83%,2026-04-22,🟢 ▲ 0.00%,2026-04-20,50.68,2.0,Active,,
UNH,354.2,🟢 ▲ 0.71%,2026-04-22,🟢 ▲ 0.95%,2026-04-22,351.71,0.0,Active,,
RBRK,54.73,🔴 ▼ 0.51%,2026-04-22,🔴 ▼ 0.20%,2026-04-22,55.01,0.0,Active,,
FICO,1056.84,🔴 ▼ 0.27%,2026-04-22,🟢 ▲ 0.31%,2026-04-22,1059.67,0.0,Active,,
DASH,182.03,🟢 ▲ 0.21%,2026-04-22,🔴 ▼ 0.57%,2026-04-20,181.64,2.0,Active,,
VEEV,167.45,🟢 ▲ 0.13%,2026-04-22,🔴 ▼ 0.62%,2026-04-20,167.24,2.0,Active,,
SANM,174.15,🟢 ▲ 0.09%,2026-04-22,🔴 ▼ 0.93%,2026-04-20,174.0,2.0,Active,,
BIDU,123.66,🔴 ▼ 0.67%,2026-04-22,🔴 ▼ 0.35%,2026-04-20,124.49,2.0,Closed,2026-04-22,123.76
SPOT,519.48,🔴 ▼ 3.80%,2026-04-22,🔴 ▼ 0.72%,2026-04-21,540.0,1.0,Closed,2026-04-22,518.42
NOK,10.06,🔴 ▼ 5.09%,2026-04-22,🔴 ▼ 2.24%,2026-04-21,10.6,1.0,Closed,2026-04-22,10.06
BABA,135.89,🔴 ▼ 2.41%,2026-04-22,🔴 ▼ 0.75%,2026-04-21,139.25,1.0,Closed,2026-04-22,136.23
